Image Name,Price,Game Name,Sentiment
1000410_ss_120dad19c104c03e907de65631c07e93c0a33f57.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_204e3cf48930d62c3549dbbeaa022b2a1f388d3f.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_3bde284abbdafa186b0be8b8fcaa1e3c6d76ea40.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_44469467bb90ce7d8dfa78ad235989619284e168.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_680bcbf3806f86b47029c420d4518add08f29742.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_699a255762b3b279e6a24272495fa2ede630477a.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_8374ecd0b15fbccb53db4a959a43b0b8586f346b.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_a96a106eb12e2a4ed0166697cb1b16ff32e99f77.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_b9070a83894059ddec0f2faacb1dcb6d3f9b4b30.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_dbf8f580018d66ef9a96a9cad07d449e72bf43f2.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_e2caa831925864698c5b7f6909cb356864b5e94a.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_ed3cf6231f17d78998f9511b87dc6e7c7b70cb3c.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000410_ss_efc9ac28282351dd3f7fb6ff51242382d8a49c33.1920x1080.jpg,3590,WRATH: Aeon of Ruin,Mostly Positive
1000800_ss_19ed78382bc3114498edad7c9a7a5adb26910ad7.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_29f7d3b35e8ca61e5fb5d7bd50fe04c20eac3cf4.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_4fc494b4315f53b2a5d276cd4db8dd5a791adf45.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_5c8130ce28d2cc93179a1661487ae13c796140b8.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_7434d5295b4c55ce6e12ea4b52421300a308e1b6.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_8cc11fd2b94414ce670f89e65d4460920a5d6bf1.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_99fc4a4fe889d4d8180d6e7373f5020233a7cfd9.1920x1080.jpg,2499,Beetle Elf,
1000800_ss_cd1b2d2557ad0cd153f7f54f2a0e399f53e6227c.1920x1080.jpg,2499,Beetle Elf,
1001270_ss_0be39e3520f9c382fcf9914972f49f57f1ad7b0b.1920x1080.jpg,1749,Kebab Chefs! - Restaurant Simulator,Very Positive
1001270_ss_0e507f536e46f9b5a66e95c663cb0da9353e87fb.1920x1080.jpg,1749,Kebab Chefs! - Restaurant Simulator,Very Positive
1001270_ss_17d42ea4628d0d80250cc41449b984156e78fd61.1920x1080.jpg,1749,Kebab Chefs! - Restaurant Simulator,Very Positive
1001270_ss_1950ef7af5d0d075fb538a9340a3eb94061c44c4.1920x1080.jpg,1749,Kebab Chefs! - Restaurant Simulator,Very Positive
1001270_ss_1f81dd57f06f1c49f17b313d335ba0612288fc66.1920x1080.jpg,1749,Kebab Chefs! - Restaurant Simulator,Very Positive
